T,L,E,M,Ms,Cv,chi,chi_s,U,periodica,intento,tao,h
2.0,24,-0.7462003472222279,187.4580564876336,0.3254483796296296,0.20554028117093517,0.6381143513481473,0.6380974850463064,0.6396383164503103,True,3,5000,0.5
1.7,24,-0.8152086265431939,221.00362214173018,0.38368719135802465,0.25200948735952683,0.7549872259917295,0.7550021637295385,0.6469261255868404,True,3,5000,0.5
1.6,24,-0.8410947222220944,234.53163263038599,0.407170987654321,0.2766465150868313,0.8061437663690106,0.8060978050068479,0.6490624904471639,True,3,5000,0.5
1.5,24,-0.870019305555557,249.97706717628498,0.4339862654320988,0.2972789043133274,0.8667138758368546,0.8666832888797522,0.6510158228518831,True,3,5000,0.5
1.4,24,-0.9013142129630134,267.34810337548055,0.4641458333333333,0.32900384746236694,0.9340646696118133,0.934084830246905,0.6528622777747601,True,3,5000,0.5
1.3,24,-0.9358181558642404,287.23295037888045,0.4986670524691358,0.3634224192967327,1.0227110985015626,1.022701960997691,0.6544719731361992,True,3,5000,0.5
1.2,24,-0.9738217592592727,310.56932068176263,0.5391858024691357,0.4042618141291758,1.1357843669617507,1.1356211102423597,0.6559574581600485,True,3,5000,0.5
1.1,24,-1.0166761033950638,337.91591297971155,0.5866601080246914,0.44575327487204663,1.266481459457888,1.2665028113698733,0.6574160768352466,True,3,5000,0.5
1.0,24,-1.0637806944444423,370.3427034954779,0.6429554012345678,0.5060922357173089,1.428024702332651,1.4280444073937488,0.6587685978961051,True,3,5000,0.5
0.9,24,-1.1168040895061742,409.83124819448454,0.7115128086419753,0.5556848178588581,1.6138442164758067,1.613878622024103,0.6601234639706566,True,3,5000,0.5
0.8,24,-1.1737487962962936,456.83260371991736,0.7931120370370371,0.5791215042898379,1.7128768668094254,1.712914446913496,0.6617101102289848,True,3,5000,0.5
0.7,24,-1.2302651543209817,508.5014110797538,0.8828138888888889,0.5424892571248903,1.5313895890715554,1.5313819428569226,0.6635537686104406,True,3,5000,0.5
0.6,24,-1.2737620447530738,551.3143707917602,0.9571429783950618,0.31810657600612174,0.7860248165014936,0.7860422534920986,0.6655077970653884,True,3,5000,0.5
0.5,24,-1.2945208531745904,571.3914459586869,0.9919994047619048,0.10325189777682277,0.16596408742690175,0.16596340911540608,0.6664764250583529,True,3,15000,0.5
0.4,24,-1.2994610714285573,575.6208108339762,0.9993416666666666,0.015430195233218704,0.013689018779435475,0.013689392063760408,0.6666542264542055,True,3,15000,0.5
0.3,24,-1.2999864484126826,575.9928002057084,0.9999875,0.0006639481252483322,0.00021794775016638194,0.00021795396804691336,0.6666665169411943,True,3,15000,0.5
0.2,24,-1.299999999999984,576.0,1.0,0.0,0.0,0.0,0.6666666666666667,True,3,15000,0.5
0.1,24,-1.299999999999984,576.0,1.0,0.0,0.0,0.0,0.6666666666666667,True,3,15000,0.5
